#--- Experiment --------------------------------------------------------------------------
#NAPTRAM20204
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.2.0.1289   www.pyroscience.com
#DESKTOP-NLMRG3K
#--- Instrument --------------------------------------------------------------------------
#Device: Pico-pH [A] PICO-pH SN:2491CB02591E7FEC Firmware:4.04 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - pH Sensor - XCF7-370-375
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	60% (F)	10M (400x)	3000	FALSE	FALSE	FALSE	TRUE	0	47	0	pH	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	35.000000
#Calibration:	lastCal1	lastCal2	lastCal3	pka (pH)	slope	dPhi_ref (°)	pka_t (pH/K)	dyn_t (1/K)	bottom_t (1/K)	slope_t (1/K)	f	lambda_std (nm)	pka_is1	pka_is2	bkgdAmpl (mV)	bkgdDphi (°)	offset (pH)	dPhi1 (°)	pH1 (pH)	temp1 (°C)	salinity1 (g/L)	ldev1 (nm)	dPhi2 (°)	pH2 (pH)	temp2 (°C)	salinity2 (g/L)	ldev2 (nm)	Aon	Aoff
#	12/17/2020	12/17/2020	12/17/2020	8.005000	1.033000	57.800000	-0.016300	-0.000521	-0.001255	0.000000	0.032500	623.000000	0.969700	0.126300	0.000000	0.000000	0.076000	20.344000	2.284000	22.797000	2.000000	623.403000	53.067000	10.037000	22.937000	6.500000	623.439000	1.809169	0.092744
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	pH [A Ch.1 Main]	pH (pH) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	ldev (nm) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]
18-12-2020	22:27:59.366	0.028	8.131	8.131	32.443	238	0	623.445	OK	18-12-2020	22:27:59.366	0.028	21.874	OK
18-12-2020	22:28:29.365	30.027	8.130	8.130	32.435	238	0	623.445	OK	18-12-2020	22:28:29.365	30.027	21.876	OK
18-12-2020	22:28:59.365	60.027	8.133	8.133	32.480	238	0	623.447	OK	18-12-2020	22:28:59.365	60.027	21.882	OK
18-12-2020	22:29:29.365	90.026	8.128	8.128	32.399	238	-1	623.447	OK	18-12-2020	22:29:29.365	90.026	21.883	OK
18-12-2020	22:29:59.365	120.026	8.132	8.132	32.459	238	0	623.445	OK	18-12-2020	22:29:59.365	120.026	21.875	OK
18-12-2020	22:30:29.365	150.026	8.131	8.131	32.453	238	0	623.443	OK	18-12-2020	22:30:29.365	150.026	21.878	OK
18-12-2020	22:30:59.365	180.027	8.129	8.129	32.410	238	-1	623.445	OK	18-12-2020	22:30:59.365	180.027	21.880	OK
18-12-2020	22:31:29.365	210.027	8.131	8.131	32.456	238	0	623.445	OK	18-12-2020	22:31:29.365	210.027	21.875	OK
18-12-2020	22:31:59.365	240.027	8.131	8.131	32.456	238	0	623.443	OK	18-12-2020	22:31:59.365	240.027	21.878	OK
18-12-2020	22:32:29.365	270.027	8.132	8.132	32.458	238	0	623.443	OK	18-12-2020	22:32:29.365	270.027	21.873	OK
18-12-2020	22:32:59.365	300.027	8.131	8.131	32.458	238	0	623.443	OK	18-12-2020	22:32:59.365	300.027	21.879	OK
18-12-2020	22:33:29.365	330.026	8.133	8.133	32.484	238	0	623.445	OK	18-12-2020	22:33:29.365	330.026	21.894	OK
18-12-2020	22:33:59.365	360.027	8.130	8.130	32.442	238	0	623.443	OK	18-12-2020	22:33:59.365	360.027	21.895	OK
18-12-2020	22:34:29.365	390.027	8.131	8.131	32.462	238	-1	623.445	OK	18-12-2020	22:34:29.365	390.027	21.896	OK
18-12-2020	22:34:59.365	420.027	8.132	8.132	32.482	238	0	623.443	OK	18-12-2020	22:34:59.365	420.027	21.911	OK
18-12-2020	22:35:29.365	450.027	8.131	8.131	32.453	238	-1	623.445	OK	18-12-2020	22:35:29.365	450.027	21.906	OK
18-12-2020	22:35:59.365	480.027	8.133	8.133	32.487	238	0	623.445	OK	18-12-2020	22:35:59.365	480.027	21.909	OK
18-12-2020	22:36:29.365	510.026	8.131	8.131	32.462	238	0	623.447	OK	18-12-2020	22:36:29.365	510.026	21.915	OK
18-12-2020	22:36:59.365	540.027	8.131	8.131	32.457	238	-1	623.445	OK	18-12-2020	22:36:59.365	540.027	21.922	OK
