#--- Experiment --------------------------------------------------------------------------
#NAPTRAM2020
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.2.0.1289   www.pyroscience.com
#DESKTOP-NLMRG3K
#--- Instrument --------------------------------------------------------------------------
#Device: Pico-pH [A] PICO-pH SN:2491CB02591E7FEC Firmware:4.04 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - pH Sensor - XCF7-370-375
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	60% (F)	10M (400x)	3000	FALSE	FALSE	FALSE	TRUE	0	47	0	pH	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	35.000000
#Calibration:	lastCal1	lastCal2	lastCal3	pka (pH)	slope	dPhi_ref (°)	pka_t (pH/K)	dyn_t (1/K)	bottom_t (1/K)	slope_t (1/K)	f	lambda_std (nm)	pka_is1	pka_is2	bkgdAmpl (mV)	bkgdDphi (°)	offset (pH)	dPhi1 (°)	pH1 (pH)	temp1 (°C)	salinity1 (g/L)	ldev1 (nm)	dPhi2 (°)	pH2 (pH)	temp2 (°C)	salinity2 (g/L)	ldev2 (nm)	Aon	Aoff
#	12/11/2020	12/11/2020	12/11/2020	8.004747	1.033000	57.800000	-0.016300	-0.000521	-0.001255	0.000000	0.032500	623.000000	0.969700	0.126300	0.000000	0.000000	0.075401	19.219002	2.309516	19.901201	2.000000	622.766235	52.879097	10.063337	20.053600	6.500000	622.818054	0.000000	0.000000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	pH [A Ch.1 Main]	pH (pH) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	ldev (nm) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]
11-12-2020	16:31:48.468	0.026	8.085	8.085	29.141	272	0	622.890	OK	11-12-2020	16:31:48.468	0.026	17.347	OK
11-12-2020	16:32:18.464	30.022	8.083	8.083	29.119	272	-1	622.885	OK	11-12-2020	16:32:18.464	30.022	17.338	OK
11-12-2020	16:32:48.464	60.022	8.085	8.085	29.146	272	0	622.885	OK	11-12-2020	16:32:48.464	60.022	17.340	OK
11-12-2020	16:33:18.464	90.022	8.085	8.085	29.147	272	0	622.887	OK	11-12-2020	16:33:18.464	90.022	17.333	OK
11-12-2020	16:33:48.464	120.022	8.084	8.084	29.127	272	0	622.885	OK	11-12-2020	16:33:48.464	120.022	17.327	OK
11-12-2020	16:34:18.464	150.022	8.086	8.086	29.154	272	0	622.883	OK	11-12-2020	16:34:18.464	150.022	17.323	OK
11-12-2020	16:34:48.464	180.022	8.085	8.085	29.136	272	1	622.885	OK	11-12-2020	16:34:48.464	180.022	17.321	OK
11-12-2020	16:35:18.464	210.022	8.085	8.085	29.146	272	0	622.885	OK	11-12-2020	16:35:18.464	210.022	17.311	OK
11-12-2020	16:35:48.464	240.022	8.087	8.087	29.177	271	0	622.883	OK	11-12-2020	16:35:48.464	240.022	17.300	OK
11-12-2020	16:36:18.464	270.022	8.088	8.088	29.174	272	0	622.885	OK	11-12-2020	16:36:18.464	270.022	17.273	OK
11-12-2020	16:36:48.464	300.022	8.088	8.088	29.170	272	0	622.881	OK	11-12-2020	16:36:48.464	300.022	17.254	OK
11-12-2020	16:37:18.464	330.022	8.087	8.087	29.159	272	0	622.885	OK	11-12-2020	16:37:18.464	330.022	17.244	OK
11-12-2020	16:37:48.464	360.022	8.088	8.088	29.161	271	0	622.883	OK	11-12-2020	16:37:48.464	360.022	17.228	OK
11-12-2020	16:38:18.464	390.023	8.086	8.086	29.133	271	-1	622.885	OK	11-12-2020	16:38:18.464	390.023	17.223	OK
11-12-2020	16:38:48.464	420.022	8.087	8.087	29.151	271	0	622.883	OK	11-12-2020	16:38:48.464	420.022	17.227	OK
11-12-2020	16:39:18.464	450.022	8.088	8.088	29.172	272	0	622.883	OK	11-12-2020	16:39:18.464	450.022	17.226	OK
11-12-2020	16:39:48.463	480.022	8.089	8.089	29.185	272	0	622.883	OK	11-12-2020	16:39:48.463	480.022	17.222	OK
11-12-2020	16:40:18.464	510.023	8.089	8.089	29.177	271	0	622.881	OK	11-12-2020	16:40:18.464	510.023	17.230	OK
11-12-2020	16:40:48.464	540.022	8.088	8.088	29.163	271	0	622.881	OK	11-12-2020	16:40:48.464	540.022	17.224	OK
11-12-2020	16:41:18.464	570.022	8.087	8.087	29.158	271	0	622.879	OK	11-12-2020	16:41:18.464	570.022	17.239	OK
11-12-2020	16:41:48.464	600.022	8.087	8.087	29.148	271	0	622.883	OK	11-12-2020	16:41:48.464	600.022	17.239	OK
11-12-2020	16:42:18.464	630.023	8.089	8.089	29.184	272	0	622.879	OK	11-12-2020	16:42:18.464	630.023	17.237	OK
11-12-2020	16:42:48.464	660.022	8.089	8.089	29.188	271	0	622.879	OK	11-12-2020	16:42:48.464	660.022	17.247	OK
11-12-2020	16:43:18.464	690.023	8.086	8.086	29.141	272	0	622.879	OK	11-12-2020	16:43:18.464	690.023	17.250	OK
11-12-2020	16:43:48.463	720.022	8.088	8.088	29.178	272	0	622.879	OK	11-12-2020	16:43:48.463	720.022	17.253	OK
11-12-2020	16:44:18.464	750.022	8.088	8.088	29.169	271	0	622.879	OK	11-12-2020	16:44:18.464	750.022	17.251	OK
11-12-2020	16:44:48.464	780.022	8.088	8.088	29.173	272	0	622.876	OK	11-12-2020	16:44:48.464	780.022	17.254	OK
11-12-2020	16:45:18.464	810.022	8.088	8.088	29.175	272	0	622.876	OK	11-12-2020	16:45:18.464	810.022	17.252	OK
11-12-2020	16:45:48.463	840.022	8.087	8.087	29.158	272	0	622.877	OK	11-12-2020	16:45:48.463	840.022	17.260	OK
11-12-2020	16:46:18.464	870.022	8.089	8.089	29.195	271	0	622.877	OK	11-12-2020	16:46:18.464	870.022	17.269	OK
11-12-2020	16:46:48.464	900.022	8.090	8.090	29.205	271	0	622.876	OK	11-12-2020	16:46:48.464	900.022	17.268	OK
11-12-2020	16:47:18.464	930.022	8.089	8.089	29.197	271	0	622.876	OK	11-12-2020	16:47:18.464	930.022	17.282	OK
11-12-2020	16:47:48.464	960.022	8.087	8.087	29.169	271	0	622.876	OK	11-12-2020	16:47:48.464	960.022	17.285	OK
11-12-2020	16:48:18.464	990.022	8.087	8.087	29.172	272	0	622.874	OK	11-12-2020	16:48:18.464	990.022	17.277	OK
11-12-2020	16:48:48.465	1020.023	8.087	8.087	29.172	272	0	622.876	OK	11-12-2020	16:48:48.465	1020.023	17.281	OK
11-12-2020	16:49:18.468	1050.026	8.090	8.090	29.217	272	0	622.876	OK	11-12-2020	16:49:18.468	1050.026	17.283	OK
11-12-2020	16:49:48.464	1080.022	8.089	8.089	29.206	271	0	622.874	OK	11-12-2020	16:49:48.464	1080.022	17.287	OK
11-12-2020	16:50:18.464	1110.023	8.089	8.089	29.210	271	0	622.872	OK	11-12-2020	16:50:18.464	1110.023	17.288	OK
11-12-2020	16:50:48.464	1140.022	8.089	8.089	29.209	271	0	622.872	OK	11-12-2020	16:50:48.464	1140.022	17.295	OK
11-12-2020	16:51:18.464	1170.022	8.088	8.088	29.184	271	0	622.870	OK	11-12-2020	16:51:18.464	1170.022	17.291	OK
11-12-2020	16:51:48.465	1200.023	8.089	8.089	29.202	271	0	622.872	OK	11-12-2020	16:51:48.465	1200.023	17.285	OK
11-12-2020	16:52:18.465	1230.023	8.089	8.089	29.195	271	0	622.872	OK	11-12-2020	16:52:18.465	1230.023	17.285	OK
11-12-2020	16:52:48.466	1260.025	8.088	8.088	29.192	271	0	622.872	OK	11-12-2020	16:52:48.466	1260.025	17.292	OK
11-12-2020	16:53:18.466	1290.024	8.089	8.089	29.206	271	0	622.870	OK	11-12-2020	16:53:18.466	1290.024	17.284	OK
11-12-2020	16:53:48.473	1320.031	8.089	8.089	29.202	271	0	622.870	OK	11-12-2020	16:53:48.473	1320.031	17.292	OK
11-12-2020	16:54:18.467	1350.026	8.091	8.091	29.238	271	0	622.870	OK	11-12-2020	16:54:18.467	1350.026	17.286	OK
11-12-2020	16:54:48.467	1380.025	8.092	8.092	29.252	271	0	622.868	OK	11-12-2020	16:54:48.467	1380.025	17.284	OK
11-12-2020	16:55:18.467	1410.026	8.089	8.089	29.216	271	0	622.868	OK	11-12-2020	16:55:18.467	1410.026	17.298	OK
11-12-2020	16:55:48.467	1440.025	8.089	8.089	29.216	271	-1	622.868	OK	11-12-2020	16:55:48.467	1440.025	17.298	OK
11-12-2020	16:56:18.467	1470.025	8.091	8.091	29.239	271	1	622.868	OK	11-12-2020	16:56:18.467	1470.025	17.286	OK
11-12-2020	16:56:48.466	1500.025	8.089	8.089	29.204	271	0	622.868	OK	11-12-2020	16:56:48.466	1500.025	17.281	OK
11-12-2020	16:57:18.467	1530.026	8.088	8.088	29.189	271	0	622.868	OK	11-12-2020	16:57:18.467	1530.026	17.284	OK
11-12-2020	16:57:48.468	1560.026	8.092	8.092	29.244	271	0	622.863	OK	11-12-2020	16:57:48.468	1560.026	17.267	OK
11-12-2020	16:58:18.468	1590.026	8.091	8.091	29.229	271	0	622.865	OK	11-12-2020	16:58:18.468	1590.026	17.271	OK
11-12-2020	16:58:48.468	1620.026	8.092	8.092	29.246	271	0	622.865	OK	11-12-2020	16:58:48.468	1620.026	17.268	OK
11-12-2020	16:59:18.468	1650.026	8.091	8.091	29.237	271	0	622.865	OK	11-12-2020	16:59:18.468	1650.026	17.258	OK
11-12-2020	16:59:48.468	1680.026	8.091	8.091	29.229	271	0	622.865	OK	11-12-2020	16:59:48.468	1680.026	17.259	OK
11-12-2020	17:00:18.468	1710.026	8.092	8.092	29.242	271	0	622.865	OK	11-12-2020	17:00:18.468	1710.026	17.254	OK
11-12-2020	17:00:48.467	1740.026	8.092	8.092	29.243	271	0	622.862	OK	11-12-2020	17:00:48.467	1740.026	17.254	OK
11-12-2020	17:01:18.468	1770.026	8.091	8.091	29.237	271	0	622.863	OK	11-12-2020	17:01:18.468	1770.026	17.252	OK
11-12-2020	17:01:48.470	1800.028	8.091	8.091	29.234	271	0	622.862	OK	11-12-2020	17:01:48.470	1800.028	17.251	OK
11-12-2020	17:02:18.468	1830.026	8.091	8.091	29.229	271	0	622.862	OK	11-12-2020	17:02:18.468	1830.026	17.252	OK
11-12-2020	17:02:48.468	1860.026	8.091	8.091	29.232	271	0	622.862	OK	11-12-2020	17:02:48.468	1860.026	17.239	OK
11-12-2020	17:03:18.468	1890.026	8.092	8.092	29.252	271	0	622.860	OK	11-12-2020	17:03:18.468	1890.026	17.247	OK
11-12-2020	17:03:48.468	1920.026	8.092	8.092	29.240	271	0	622.862	OK	11-12-2020	17:03:48.468	1920.026	17.242	OK
